,직군,직무,신입,1년차,2년차,3년차,4년차,5년차,6년차,7년차,8년차,9년차,10년차
179,HR,교사,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
180,HR,기술 교육,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
181,HR,HR 컨설턴트,3043,3238,3434,3629,3987,4346,4744,4906,5068,6157,7245
182,HR,인사담당,3194,3332,3466,3788,3997,4304,4481,4844,5011,5396,6653
183,HR,리크루터,3238,3395,3592,3763,4066,4541,4793,4885,5124,5594,6598
184,HR,평가·보상,2947,3217,3487,3795,3956,4426,4594,4842,5115,5412,6926
185,HR,노무·노사,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
186,HR,HRD,3187,3486,3506,3772,3944,4116,4557,4637,5090,5449,6640
187,HR,조직문화,3116,3442,3509,3808,4091,4274,4521,4829,5048,5550,6770
188,HR,급여담당,2956,3188,3379,3673,3864,4083,4213,4430,4648,5266,6241
189,HR,E-러닝,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
190,HR,헤드헌터,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
191,HR,교수,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
192,HR,HRBP,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
193,HR,사내 강사,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
194,금융,전체,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
195,금융,회계담당,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
196,금융,재무 분석가,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
197,금융,공인회계사,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
198,금융,내부통제 담당자,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
199,금융,보험 에이전트,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
200,금융,손해 사정관,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
201,금융,계리사,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
202,금융,언더라이터,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
203,금융,부동산 자산 관리자,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
204,금융,부동산 중개사,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
205,금융,감정평가사,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
206,금융,애널리스트,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
207,금융,IR,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
208,금융,트레이더,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
209,금융,금융공학자,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
210,금융,자산관리사,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
211,금융,자산운용가,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
212,금융,투자은행가,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
213,금융,준법감시인,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
214,금융,세무사,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
215,금융,재무 담당자,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
216,금융,청구 담당자,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
217,금융,투자·증권,2961,3283,4427,4494,4929,4979,5030,5779,6370,6551,7998
218,제조·생산,전체,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
219,제조·생산,조립 기술자,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
220,제조·생산,화학자,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
221,제조·생산,기계제작 기술자,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
222,제조·생산,제조 엔지니어,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
223,제조·생산,자재관리·구매,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
224,제조·생산,기계·설비·설계,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
225,제조·생산,생산 관리자,2942,3109,3276,3443,3667,3891,4262,4334,4502,4671,4840
226,제조·생산,생산직 종사자,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
227,제조·생산,공정 관리자,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
228,제조·생산,품질 관리자,2885,3392,3590,3629,3963,3982,4380,4450,4652,4916,5180
229,제조·생산,안전 관리자,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
230,제조·생산,제조 테스트 엔지니어,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
231,제조·생산,섬유·의류·패션,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
232,제조·생산,반도체·디스플레이,2971,3195,3420,3731,3970,4119,4224,4382,4574,4766,4919
233,교육,전체,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
234,교육,전문강사,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
235,교육,교재·교육기획,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
236,교육,학원강사,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
237,교육,교직원,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
238,교육,외국어교육,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
239,교육,유치원·보육교사,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
240,교육,초·중·고 교사,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
241,교육,자격증·기술전문교육,3047,3174,3435,3667,3671,3712,3754,3862,3971,4080,4559
242,의료·제약·바이오,전체,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
243,의료·제약·바이오,치과 위생사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
244,의료·제약·바이오,증례 관리자,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
245,의료·제약·바이오,간병인,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
246,의료·제약·바이오,조무사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
247,의료·제약·바이오,임상병리사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
248,의료·제약·바이오,간호사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
249,의료·제약·바이오,작업 치료사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
250,의료·제약·바이오,물리 치료사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
251,의료·제약·바이오,호흡장애 치료사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
252,의료·제약·바이오,수의 테크니션,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
253,의료·제약·바이오,의사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
254,의료·제약·바이오,수의사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
255,의료·제약·바이오,간호 조무사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
256,의료·제약·바이오,치과의사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
257,의료·제약·바이오,검안사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
258,의료·제약·바이오,약학 분석 화학자,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
259,의료·제약·바이오,연구실 기사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
260,의료·제약·바이오,약사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
261,의료·제약·바이오,약사 보조원,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
262,의료·제약·바이오,임상시험 연구원,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
263,의료·제약·바이오,임상시험 간호사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
264,의료·제약·바이오,미생물학자,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
265,의료·제약·바이오,유전공학자,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
266,의료·제약·바이오,연구원,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
267,의료·제약·바이오,생명공학 연구원,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
268,의료·제약·바이오,한의사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
269,의료·제약·바이오,방사선사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
270,의료·제약·바이오,병원 코디네이터,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
271,의료·제약·바이오,의무기록사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
272,의료·제약·바이오,임상심리사,3247,3359,3614,3869,4046,4208,4306,4403,4953,5196,5439
