,리뷰수(개),평점,평균 연봉(만)
한·아프리카재단,25,1.6,3311.0
한국뮤지컬협회,25,2.0,3049.0
(주)뉴텍웰니스,24,2.2,2840.0
(주)스몰머신즈,24,2.4,3247.0
(주)스킨메드,24,2.4,3009.0
(주)에스아이지파트너스,24,3.0,5563.0
(주)치어스,24,2.5,3165.0
에코프론티어,24,2.9,3072.0
인덕회계법인,24,3.2,3049.0
한국문화재보호재단,24,3.1,2621.0
(사)차세대융합콘텐츠산업협회,23,2.4,2926.0
(주)더블유케이마케팅그룹,23,2.9,3109.0
(주)비지에이치코리아,23,1.9,2892.0
(주)아시아코치센터,23,3.4,3324.0
에이치에스비씨펀드서비스(주),23,2.8,4054.0
워킹홀리데이협회,23,2.3,1920.0
특허법인이룸리온,23,2.7,3762.0
한국교육시설안전원,23,3.7,5265.0
(재)광주그린카진흥원,22,2.7,3612.0
(주)아이비스글로벌,22,2.0,3226.0
(주)퀀텀앤파트너스,22,3.3,5340.0
(주)한국에스큐아이,22,2.7,2957.0
대웅경영개발원(주),22,2.0,3115.0
서울대학교발전기금,22,1.8,3012.0
스마트엠(주),22,2.5,2204.0
지디씨컨설팅(주),22,4.1,4837.0
지파운데이션,22,3.7,2940.0
큐라켐(주),22,2.0,3743.0
특허법인 하나,22,2.1,2963.0
포모컴(주),22,1.6,3569.0
한국과학기술원 부설 고등과학원,22,3.5,4578.0
한국조선해양플랜트협회,22,2.5,3852.0
(주)사피엔스바이오,21,2.3,3886.0
(주)아벨리노,21,2.7,3524.0
(주)지역활성화센터,21,3.0,3573.0
대성홀딩스(주),21,2.4,4728.0
두호특허법인,21,2.9,3360.0
법무법인 한별,21,3.3,2858.0
부산과학기술기획평가원,21,2.7,4662.0
아모레퍼시픽그룹(주),21,3.8,5881.0
타코마테크놀러지(주),21,2.0,3433.0
특허법인 누리,21,2.8,2927.0
특허법인 지담,21,2.9,3208.0
티에고(주),21,2.4,2340.0
한국지방세연구원,21,2.7,4130.0
한성아이엘에스(주),21,2.4,3234.0
(사)희망조약돌,20,3.7,3266.0
(유)밸러스,20,4.5,4211.0
(유)세무법인혜움,20,3.0,3449.0
(재)아시아태평양이론물리센터,20,1.8,4003.0
(재)인천창조경제혁신센터,20,3.3,2946.0
(재)태재미래전략연구원,20,1.5,4282.0
(주)러닝뱅크,20,3.3,3357.0
(주)투비컨설팅그룹,20,2.7,2874.0
경기도체육회,20,3.3,3060.0
광주광역시 교육청,20,3.6,4538.0
노무법인유앤,20,2.8,2965.0
법무법인푸른,20,2.6,2631.0
비욘드리서치(주),20,1.8,3685.0
아이앤아이컨설팅(주),20,2.8,3102.0
에버민트파트너즈(주),20,2.6,3410.0
지에스에너지(주),20,4.0,5891.0
팻머스문화선교회,20,2.8,2166.0
한국식품연구원부설세계김치연구소,20,4.2,3427.0
(사)유엔글로벌콤팩트한국협회,19,3.7,3594.0
(사)인디053,19,3.2,2395.0
(사)한국인성교육협회,19,1.8,2614.0
(재)한국안광학산업진흥원,19,3.2,3902.0
(주)네모파트너즈엔이씨,19,1.9,4170.0
(주)지에스브랜즈,19,1.8,2651.0
(주)커스토머인사이트,19,2.7,3300.0
(주)홀딩핸즈,19,4.2,4186.0
JM행정사사무소,19,1.9,2370.0
강북구청,19,4.0,2905.0
구 에스케이(주),19,3.5,8207.0
국립대구박물관,19,3.4,1775.0
국립오페라단,19,2.2,2280.0
서울시여성능력개발원,19,2.2,2847.0
코너스톤파트너스(주),19,2.7,7670.0
한국로봇산업협회,19,3.1,3654.0
한국통합물류협회,19,2.1,2964.0
(주)세마그룹,18,3.3,3244.0
(주)솔본,18,1.8,4845.0
경기도농업기술원,18,3.2,2600.0
국가식품클러스터지원센터,18,2.9,3580.0
국경없는의사회한국(사),18,2.5,3723.0
더원노무법인,18,2.9,3068.0
서울중앙지방법원,18,3.6,2298.0
세무법인삼호,18,2.2,2196.0
특허법인태동,18,2.4,2655.0
한국공작기계산업협회,18,1.7,5820.0
(재)경북문화재단,17,2.3,2796.0
(주)고바이오랩,17,3.1,3642.0
(주)모빌테크,17,2.2,3627.0
(주)유앤파트너즈,17,2.5,3004.0
(주)쥬퍼,17,2.9,2943.0
