,리뷰수(개),평점,평균 연봉(만)
(주)에듀인애스크,10,2.3,2298.0
(주)에스넷,10,2.6,2483.0
(주)이엔아이그룹,10,3.1,2377.0
(주)하이픈스,10,3.3,3754.0
다쿠토코리아(주),10,2.3,2555.0
에듀하우스(주),10,2.8,2669.0
(사)청소년교육문화센터 우리세상,9,1.8,2298.0
(주)100케이션,9,2.1,2694.0
(주)브레이너리메이커스,9,2.7,2678.0
(주)어썸스쿨,9,4.2,3345.0
(주)한국산업기술협회연수원,9,2.7,2791.0
공부의신(주),9,2.1,2710.0
삼성씨에스아카데미(주),9,2.4,3249.0
이제이플러스종합외국어학원(주),9,2.3,2398.0
지앤비아카데미보습학원,9,2.6,2652.0
타임컨텐츠(주),9,2.7,3137.0
한국항공직업전문학교,9,3.2,2343.0
휴브랜드(주),9,1.7,2230.0
(주)리마커블교육,8,2.0,2905.0
(주)리틀아티스트,8,4.1,2405.0
구미대학교,8,2.6,4030.0
스쿨케어(주),8,2.4,3572.0
신흥대학교,8,2.8,2200.0
씨제이에듀케이션즈(주),8,2.8,3331.0
예원유치원,8,2.3,2593.0
이화여자대학교 언어교육원,8,3.0,2150.0
인앤잡(주),8,2.0,2716.0
한문화진흥협회,8,2.4,2298.0
해군사관학교,8,3.6,2522.0
(사)미래희망기구,7,4.3,3068.6672297297296
(주)국제대학교류원,7,3.4,2473.0
(주)메인콘텐츠,7,3.7,3040.0
(주)포디랜드,7,1.9,2696.0
(주)한국비전교육원,7,1.9,3267.0
Sejong Pte. Ltd.,7,4.1,3096.0
공주교육대학교,7,3.7,2632.0
국제금융회계아카데미(주),7,2.3,3469.0
리틀팍스어학원 안산센터,7,3.1,2595.0
부산대학교의학전문대학원,7,3.6,1752.0
삼육외국어학원,7,4.1,2246.0
서울삼정중학교,7,4.1,3580.0
세종학원,7,2.9,1975.0
세한아카데미,7,3.7,3668.0
안은주수학학원,7,3.0,2765.0
유학플래너닷컴,7,4.0,2360.0
중앙직업전문학교,7,2.6,2518.0
(주)더블유컴퓨터아트학원천호점,6,3.3,2379.0
(주)딩코,6,2.3,4043.0
(주)서울어학원,6,3.7,3181.0
(주)슈퍼차일드,6,4.0,3013.0
(주)씨앤에이엑스퍼트,6,2.5,2487.0
(주)에듀넷,6,3.0,3608.0
(주)엠트리,6,3.5,3143.0
(주)위메스,6,4.3,3170.0
(주)주니어천문스쿨,6,4.0,3068.6672297297296
경희전문(주),6,1.7,1498.0
대구중앙고등학교,6,3.3,4388.0
리딩스타(주),6,2.0,3068.6672297297296
미래로에듀(주),6,2.7,3425.0
아이가답이다미술학원,6,4.5,3068.6672297297296
압구정아람어린이집,6,2.8,2573.0
윌셔코리아어학원,6,3.7,1613.0
케이에이치정보교육원,6,2.7,2298.0
코어소리영어원격평생교육원,6,2.0,2803.0
코코스코리아(주),6,3.2,3786.0
평생교육원,6,3.2,1967.0
(재)로이교육재단,5,2.2,3129.0
(주)메이크잇,5,2.4,4388.0
(주)몬드라곤,5,4.0,3068.6672297297296
(주)블루타이거,5,4.8,3110.0
(주)에스테이트,5,4.2,2855.0
(주)오픈스카이에듀,5,5.0,3068.6672297297296
(주)외대어학연구소,5,2.4,3521.0
(주)학생독립만세,5,4.4,2622.0
(주)한국교육센터,5,2.8,2547.0
(주)휘랑,5,2.0,3068.6672297297296
단국대학교 나노바이오의과학과 대학원,5,2.6,2400.0
리틀피아노(주),5,2.2,1260.0
산새소리유치원,5,2.6,2052.0
스스로(주),5,3.0,2160.0
스텝에듀,5,1.6,2442.0
아주대의과대학,5,3.8,3990.0
이누리평생교육원(주),5,2.2,2763.0
이상숙 어학원,5,2.8,3057.0
인천문예전문학교,5,2.6,2650.0
장원한자,5,2.4,3068.6672297297296
케이노트(주),5,1.6,2340.0
풍월당(주),5,3.0,3119.0
(재)한국간호교육평가원,4,3.0,3068.6672297297296
(주)레알 레알스페인어학원,4,2.3,2298.0
(주)씨에스엠17,4,4.3,3068.6672297297296
(주)토마토패스,4,4.0,6068.0
Intrax,4,4.3,2298.0
강태우어학원(주),4,2.8,2298.0
거제애광학교(주),4,2.8,3800.0
김용진어학원(주),4,3.8,1127.0
리얼에스에이티(주),4,3.5,3855.0
비즈플로우,4,3.8,3245.0
사이언스신성어린이집,4,2.5,2558.0
서울기독교대학교,4,2.3,2665.0
서울사진학원(주),4,2.3,3068.6672297297296
수원장안정상어학원,4,3.3,3181.0
예우선원아카데미중등보습학원,4,2.3,2374.0
이앤티컨설팅(주),4,2.3,2050.0
크렘에듀(주),4,3.0,2961.0
테스트와이즈시사영어학원(주),4,3.3,1425.0
퍼스트러닝,4,4.0,3068.6672297297296
프로메트릭,4,4.0,2485.0
한경국립대학교,4,4.0,2730.0
한컴캠퍼스,4,2.5,1640.0
(주)링크스타트,3,3.7,2384.0
(주)세정학원,3,3.0,2554.0
(주)정율,3,3.3,3994.0
(주)프라미스,3,3.7,3068.6672297297296
CIEE 서울사무소,3,4.3,2091.0
Johns Hopkins University,3,3.3,3120.0
경기대학교 원격교육원,3,3.3,2550.0
경기대학교 인재개발원,3,2.0,2050.0
경찰대학,3,4.3,3068.6672297297296
고려대학교 의과학대학원,3,3.7,1853.0
대성교육출판(주),3,2.0,5518.0
대신교육,3,2.0,2340.0
대전삼성어린이집,3,3.0,2100.0
라미드호텔직업전문학교,3,2.3,2367.0
럭셔리비지니스인스티튜트코리아(주),3,2.0,2967.0
로고스논술구술아카데미,3,3.3,1425.0
매스타트수학학원,3,5.0,3291.0
백신중학교,3,3.0,2598.0
스탠포드대학교,3,4.7,3543.0
신명,3,2.7,3200.0
아이엠위너스(주),3,3.7,4100.0
안동여자고등학교,3,4.0,3068.6672297297296
용인대학교 대학원,3,3.3,3068.6672297297296
웅진다책,3,3.3,1755.0
이노에듀,3,2.3,4680.0
이화숲피아노학원,3,3.0,1470.0
이화여자대학교 생활협동조합,3,3.3,1050.0
전주상업정보고등학교,3,1.7,3075.0
정구원국어전문학원,3,3.0,1755.0
정보학원(주),3,2.3,3058.0
주니어랩스쿨,3,3.0,2248.0
청솔기숙학원,3,3.3,4500.0
탄벌초등학교,3,3.3,3068.6672297297296
퇴사학교(주),3,3.0,4010.0
푸른일삼일팔,3,2.3,2360.0
핵교(주),3,3.3,2298.0
협동조합 소이랩,3,4.7,3068.6672297297296
(주)그레이스타인그룹,2,5.0,3068.6672297297296
(주)더숨,2,3.5,2424.0
(주)디자인나스,2,2.0,3244.0
(주)머니멘즈,2,5.0,2602.0
(주)메이커스,2,3.0,2954.0
(주)브릿센트,2,5.0,3068.6672297297296
(주)키즈페이,2,4.0,3543.0
경남대학교 행정대학원,2,3.0,6150.0
국산대학교,2,3.0,3425.0
그레일어학원(주),2,2.0,2829.0
김해농업협동조합,2,2.5,5632.0
나스간호학원,2,3.5,2298.0
나인짐앤핫요가숨(주),2,3.0,3413.0
노원자동차운전전문학원,2,2.5,3075.0
당진고등학교,2,4.5,5125.0
동부산청솔학원,2,3.0,3068.6672297297296
미학원,2,5.0,3068.6672297297296
박달초등학교,2,3.5,3133.0
보평초등학교,2,4.5,2050.0
부산글로벌빌리지,2,1.0,2284.0
부산혜원학교,2,3.5,2633.0
서울모드패션직업전문학교,2,2.0,2586.0
숙명여자고등학교,2,4.0,3560.0
시소(주),2,3.0,1953.0
이티씨영어전문학원,2,3.5,3068.6672297297296
임스영어학원,2,1.0,3068.6672297297296
정일학원(주),2,3.5,2901.0
키즈하우스애플트리,2,3.0,3068.6672297297296
플라잉촉스,2,3.5,3068.6672297297296
하늘을그리는바다,2,4.0,2460.0
한글문화연대(사),2,3.5,2050.0
한성여자고등학교,2,4.5,2447.0
홍성고등학교,2,4.0,2214.0
(주)디오벨,1,4.0,3068.6672297297296
(주)레듀텍,1,1.0,3068.6672297297296
(주)브롬튼그룹,1,3.0,3068.6672297297296
(주)월스트릿트레이닝아시아,1,2.0,3068.6672297297296
(주)케이스타아카데미,1,1.0,3068.6672297297296
(주)코인텍,1,4.0,3068.6672297297296
(주)튜링,1,5.0,8976.0
(주)프렌즈몬,1,3.0,3068.6672297297296
EU어학원,1,3.0,1512.0
QINGDAO DAEWON SCHOOL,1,1.0,3068.6672297297296
갈릴레오외국어사관학교,1,1.0,1680.0
게이트어학원,1,1.0,3068.6672297297296
게임스틱,1,5.0,3068.6672297297296
구정남수학학원,1,3.0,2298.0
국제교육정보센타(주),1,2.0,1658.0
글로벌리더십센터(주),1,3.0,1792.0
김해한림초등학교,1,4.0,2925.0
능인불교대학원대학교,1,5.0,3068.6672297297296
대구경동초등학교,1,2.0,3075.0
대구대곡초등학교,1,3.0,2446.0
대구신월초등학교,1,5.0,5850.0
더잉글리쉬 어학원,1,5.0,3068.6672297297296
덕성유치원,1,4.0,1650.0
돌담어린이집,1,3.0,1845.0
동삼초등학교,1,4.0,7380.0
동아대학교 동아시아연구원,1,3.0,1950.0
디웍스에듀케이션(주),1,3.0,3068.6672297297296
디지털인사이트코리아(주),1,3.0,2563.0
따뜻한십이월,1,2.0,2340.0
멘토플러스(주),1,3.0,2925.0
명도어린이집,1,3.0,3068.6672297297296
미국호텔협회 한국교육원,1,3.0,1845.0
반안초등학교,1,3.0,5433.0
방이초등학교,1,5.0,3588.0
배움컴퓨터아트학원,1,3.0,1845.0
백운초등학교,1,3.0,4715.0
벨국제학교,1,4.0,1483.0
복창초등학교,1,4.0,3075.0
부천도원초등학교,1,4.0,2769.0
비엘씨영재교육연구원,1,2.0,3068.6672297297296
새빛학원,1,3.0,1950.0
선린애육원,1,5.0,5933.0
선주초등학교,1,4.0,4875.0
성남검단초등학교,1,2.0,4444.0
성민요양보호사교육원,1,2.0,3068.6672297297296
세종검정고시학원,1,3.0,1512.0
숲나학교,1,3.0,2354.0
