,리뷰수(개),평점,평균 연봉(만)
(주)미텔슈탄트,5,2.8,2340
(주)비주얼리서치,5,3.8,3384
(주)빌리어네어즈,5,5.0,3756
(주)산타,5,3.2,3860
(주)아몬드컴퍼니,5,3.2,4114
(주)어드바이저,5,1.0,3851
(주)에이비씨랩스,5,2.8,2392
(주)에이아이에스,5,2.0,3773
(주)엔큐컨설팅,5,4.0,2727
(주)오늘앤파트너스,5,3.2,3756
(주)유아이랩,5,3.4,3065
(주)체커,5,3.4,4022
(주)컬처릿,5,2.2,3902
(주)케이시스,5,1.2,3158
(주)코스터네트웍스,5,2.4,3756
(주)콜리,5,3.2,3756
(주)픽뱅,5,4.2,2106
비글램(주),5,1.8,2702
에스오월드테크놀리지(주),5,2.2,3497
인포빕(유),5,3.8,3756
타임블럭스,5,4.6,3030
(주)그레이비랩,4,3.5,3545
(주)누비랩,4,3.5,3756
(주)라이클컴퍼니,4,3.3,2985
(주)레어소프트,4,4.5,3756
(주)로로젬,4,3.5,3033
(주)리클,4,4.8,4034
(주)모아이스,4,4.8,3756
(주)바벨탑,4,2.5,3874
(주)블록워터테크놀로지스,4,4.5,2460
(주)비알랩,4,3.0,5322
(주)쇼미컴퍼니,4,4.5,3756
(주)심지,4,3.3,3756
(주)아트스토어,4,4.3,2733
(주)알타바그룹,4,1.8,3756
(주)어니언스,4,4.0,3204
(주)에이디엠아이,4,3.5,1796
(주)원랩,4,3.8,3915
(주)주나펀드,4,2.8,3756
(주)코튼캔디,4,2.0,3756
(주)파이온코퍼레이션,4,4.5,3911
(주)한아이덴티티코리아,4,1.8,2920
네오폰스(주),4,3.8,3404
더쿠스아이앤씨,4,4.0,3599
브랫빌리지(주),4,2.0,3062
아이디퀀티크(유),4,2.5,3756
알플레이(주),4,2.5,2188
에이치소사이어티(주),4,4.5,4599
핀스팟(주),4,3.5,2398
한컴(주),4,2.5,4225
(주)거번테크,3,1.3,3756
(주)나인테일에이아이,3,1.0,3756
(주)대원썬,3,3.7,2545
(주)돌봄드림,3,5.0,3756
(주)마지막삼십분,3,5.0,3875
(주)모요,3,5.0,3756
(주)봄프렌즈,3,1.0,2569
(주)셰어킴,3,2.7,3756
(주)심바트,3,3.3,3756
(주)썸머코퍼레이션,3,4.0,2411
(주)쓰리덕스,3,3.3,3756
(주)아보엠디코리아,3,4.3,3756
(주)아이엠에스일렉트로닉스,3,3.7,4683
(주)액션파워,3,5.0,3756
(주)앱테스트에이아이,3,3.0,5033
(주)에스앤에프솔루션,3,4.0,2831
(주)에이아이파크,3,4.3,3756
(주)온전히,3,5.0,3756
(주)일리오,3,4.7,3008
(주)지디에스케이,3,3.7,2604
(주)테크트리이노베이션,3,2.7,3041
(주)해피문데이,3,3.0,3756
(주)홍빈네트워크코리아,3,1.7,3756
(주)휴이노에임,3,3.0,3756
아이오,3,5.0,3756
엑스체인,3,3.7,6256
와이케이솔루션,3,1.0,3756
젠가엑스 피티이 엘티디,3,4.3,6011
지큐브스페이스(주),3,4.7,2493
청개구리,3,4.0,2783
(주)까리용,2,3.5,3756
(주)달라라네트워크,2,4.5,3075
(주)링캠,2,1.0,3756
(주)모두의셔틀,2,2.0,2255
(주)모바일닥터,2,2.5,3710
(주)비티씨씨코리아,2,2.0,5242
(주)비포코리아,2,3.0,3756
(주)서울로보틱스,2,5.0,4645
(주)에이치스퀘어어낼러틱스,2,4.5,3756
(주)엠티이지,2,3.0,3756
(주)이모티브,2,3.0,4498
(주)제이딘,2,4.5,2907
(주)테스트뱅크,2,5.0,3756
(주)티웨이브 역삼점,2,3.0,6624
(주)하나소프트,2,4.5,3841
(주)화난사람들,2,5.0,3756
"Fuller, Inc.",2,5.0,3756
그린에코스(주),2,3.0,4273
디피니트,2,5.0,3756
롯데헬스케어(주),2,4.0,3756
마인드퀘이크(주),2,2.5,3756
엔텔시스템,2,1.5,3814
피아스페이스(주),2,2.0,3756
피엠스튜디오스인코퍼레이티드,2,4.5,3756
핵클(주),2,3.0,4584
(유)동방이노베이션,1,1.0,3756
(주)TAPICK,1,1.0,2767
(주)넘버스,1,4.0,3756
(주)라이프오버플로우,1,4.0,3756
(주)마인드바이러스,1,4.0,3756
(주)메이코더스,1,5.0,3756
(주)메텔,1,5.0,3756
(주)부에노컴퍼니,1,5.0,3756
(주)블록체인소프트,1,5.0,3756
(주)블루팬,1,5.0,2923
(주)비팩토리,1,2.0,3285
(주)빛글림,1,5.0,3756
(주)세이프틱스,1,5.0,3756
(주)세인트,1,4.0,3759
(주)세진마인드,1,4.0,4181
(주)아이들랩,1,5.0,3756
(주)앤드코퍼레이션,1,1.0,1950
(주)에르사츠,1,5.0,3756
(주)에이치디랩스,1,5.0,3756
(주)에임퓨처,1,5.0,3756
(주)엠케이페이먼트,1,1.0,3654
(주)오래,1,3.0,4496
(주)캐러멜베이,1,2.0,2298
(주)키인사이드,1,5.0,3540
(주)파인랩,1,3.0,3000
(주)포메이커스,1,4.0,3756
(주)프로젝트그룹앤더,1,5.0,3756
(주)프롭웨이브,1,4.0,3756
(주)프리퀄,1,4.0,3756
(주)플랜즈커피,1,4.0,3756
(주)한국건강데이터,1,5.0,6150
플랜위드,1,4.0,3756
군인공제회C&C,1,3.0,3756
나비효과,1,4.0,3756
럭시(주),1,5.0,3188
레그(주),1,2.0,5476
마보(주),1,4.0,5048
모바일이지배하는세상,1,3.0,2818
모바일파킹(유),1,1.0,3756
서클스퀘어(주),1,4.0,3756
스마트온커뮤니케이션(주),1,4.0,2404
씨드로닉스(주),1,2.0,3756
오픈엣지테크놀로지(주),1,2.0,5757
장정들(주),1,5.0,3756
포인트,1,2.0,3510
현대메디,1,1.0,3756
효림닷넷(주),1,4.0,3756
